Laptop Adı,Fiyat,İnç,RAM,İşlemci,Puan
Lenovo Legion Pro 7 L83DE002WTRWP17,54609.0,16.0,80.0,4,88.0
Lenovo Legion Pro 7 L83DE002WTRWP20,65344.0,16.0,80.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP20,65344.0,16.0,80.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP20,65344.0,16.0,80.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP20,65344.0,16.0,80.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP20,65344.0,16.0,80.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP23,188100.0,16.0,96.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP23,188100.0,16.0,96.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP23,188100.0,16.0,96.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP23,188100.0,16.0,96.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP23,188100.0,16.0,96.0,4,89.0
Lenovo Legion Pro 7 L83DE002WTRWP25,199768.0,16.0,96.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP25,199768.0,16.0,96.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP25,199768.0,16.0,96.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP25,199768.0,16.0,96.0,4,92.0
Lenovo Legion Pro 7 L83DE002WTRWP25,199768.0,16.0,96.0,4,92.0
Lenovo ThinkPad P16 G2   TP21FA000UTX27,129756.0,16.0,128.0,1,89.0
Lenovo ThinkPad P16 G2   TP21FA000UTX27,129756.0,16.0,128.0,1,89.0
Lenovo ThinkPad P16 G2   TP21FA000UTX27,129756.0,16.0,128.0,1,89.0
Lenovo ThinkPad P16 G2   TP21FA000UTX27,129756.0,16.0,128.0,1,89.0
Lenovo ThinkPad P16 G2   TP21FA000UTX27,129756.0,16.0,128.0,1,89.0
MSI Raider 18 HX A14VIG-468TR,156267.0,18.0,64.0,4,88.0
MSI Raider 18 HX A14VIG-468TR,156267.0,18.0,64.0,4,88.0
MSI Raider 18 HX A14VIG-468TR,156267.0,18.0,64.0,4,88.0
MSI Raider 18 HX A14VIG-468TR,156267.0,18.0,64.0,4,88.0
MSI Raider 18 HX A14VIG-468TR,156267.0,18.0,64.0,4,88.0
MSI Titan 18 HX A14VIG-067TR,287599.0,18.0,128.0,4,94.0
MSI Titan 18 HX A14VIG-067TR,287599.0,18.0,128.0,4,94.0
MSI Titan 18 HX A14VIG-067TR,287599.0,18.0,128.0,4,94.0
MSI Titan 18 HX A14VIG-067TR,287599.0,18.0,128.0,4,94.0
MSI Titan 18 HX A14VIG-067TR,287599.0,18.0,128.0,4,94.0
MSI Titan GT77HX 13VI-069TR,43999.0,17.3,128.0,3,95.0
MSI Titan GT77HX 13VI-069TR,43999.0,17.3,128.0,3,95.0
MSI Titan GT77HX 13VI-069TR,43999.0,17.3,128.0,3,95.0
MSI Titan GT77HX 13VI-069TR,43999.0,17.3,128.0,3,95.0
MSI Titan GT77HX 13VI-069TR,43999.0,17.3,128.0,3,95.0
MSI Vector 16 HX VECA14VIG-825XTR60,159628.0,16.0,96.0,4,91.0
MSI Vector 16 HX VECA14VIG-825XTR60,159628.0,16.0,96.0,4,91.0
MSI Vector 16 HX VECA14VIG-825XTR60,159628.0,16.0,96.0,4,91.0
MSI Vector 16 HX VECA14VIG-825XTR60,159628.0,16.0,96.0,4,91.0
MSI Vector 16 HX VECA14VIG-825XTR60,159628.0,16.0,96.0,4,91.0
